id,flight_date,flight_status,departure_airport,departure_timezone,arrival_airport,arrival_timezone,airline_name
79,2025-07-21,scheduled,Riga International,Europe/Riga,Dubai,Asia/Dubai,Air Baltic
80,2025-07-21,scheduled,Riga International,Europe/Riga,Dubai,Asia/Dubai,Emirates
81,2025-07-21,scheduled,Amata Kabua International,Pacific/Majuro,,,empty
82,2025-07-21,scheduled,Guam International,Pacific/Guam,Ninoy Aquino International,Asia/Manila,Philippine Airlines
83,2025-07-21,scheduled,Brisbane International,Australia/Brisbane,Sydney Kingsford Smith Airport,Australia/Sydney,Virgin Australia
84,2025-07-21,scheduled,Brisbane International,Australia/Brisbane,Sydney Kingsford Smith Airport,Australia/Sydney,United Airlines
85,2025-07-21,scheduled,Brisbane International,Australia/Brisbane,Sydney Kingsford Smith Airport,Australia/Sydney,Singapore Airlines
86,2025-07-21,scheduled,Brisbane International,Australia/Brisbane,Sydney Kingsford Smith Airport,Australia/Sydney,Hawaiian Airlines
87,2025-07-21,scheduled,Brisbane International,Australia/Brisbane,Roma,Australia/Brisbane,Rex Regional Express
88,2025-07-21,scheduled,Brisbane International,Australia/Brisbane,Melbourne - Tullamarine Airport,Australia/Melbourne,Qantas
89,2025-07-21,scheduled,Brisbane International,Australia/Brisbane,Melbourne - Tullamarine Airport,Australia/Melbourne,Cathay Pacific
90,2025-07-21,scheduled,Brisbane International,Australia/Brisbane,Melbourne - Tullamarine Airport,Australia/Melbourne,IndiGo
91,2025-07-21,scheduled,Brisbane International,Australia/Brisbane,Melbourne - Tullamarine Airport,Australia/Melbourne,American Airlines
92,2025-07-21,scheduled,Brisbane International,Australia/Brisbane,Melbourne - Tullamarine Airport,Australia/Melbourne,LATAM Airlines
93,2025-07-21,scheduled,Brisbane International,Australia/Brisbane,Melbourne - Tullamarine Airport,Australia/Melbourne,China Eastern Airlines
94,2025-07-21,scheduled,Brisbane International,Australia/Brisbane,Melbourne - Tullamarine Airport,Australia/Melbourne,Air New Zealand
95,2025-07-21,scheduled,Brisbane International,Australia/Brisbane,Melbourne - Tullamarine Airport,Australia/Melbourne,Emirates
96,2025-07-21,scheduled,Brisbane International,Australia/Brisbane,Sydney Kingsford Smith Airport,Australia/Sydney,Jetstar
97,2025-07-21,scheduled,Brisbane International,Australia/Brisbane,Adelaide International Airport,Australia/Adelaide,Jetstar
98,2025-07-21,scheduled,Brisbane International,Australia/Brisbane,Melbourne - Tullamarine Airport,Australia/Melbourne,Virgin Australia
99,2025-07-21,scheduled,Brisbane International,Australia/Brisbane,Melbourne - Tullamarine Airport,Australia/Melbourne,United Airlines
100,2025-07-21,scheduled,Brisbane International,Australia/Brisbane,Melbourne - Tullamarine Airport,Australia/Melbourne,Singapore Airlines
